                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6214,                 47.928,                0.99146,                      0,                      0,                      0,                      0,                 3.4661,                 29.519,                0.92119,                0.00052,                0.00052,                0.00052
                      2,                 3.3826,                   18.3,                0.98996,                  3e-05,                 0.0099,                  2e-05,                      0,                 3.4906,                 26.184,                0.89139,              0.0010495,              0.0010495,              0.0010495
                      3,                 3.4552,                  15.95,                0.96651,                0.00073,                0.21782,                0.01149,                0.00176,                 3.6642,                 12.712,                0.88436,              0.0015683,              0.0015683,              0.0015683
                      4,                 3.2302,                 12.281,                0.91752,                0.23379,                0.05941,                0.06329,                0.02329,                  2.957,                 7.3652,                0.84829,              0.0019406,              0.0019406,              0.0019406
                      5,                 3.1908,                  8.937,                0.92635,                0.85259,                0.05751,                0.18594,                0.05833,                  2.979,                 6.3419,                0.82319,              0.0019208,              0.0019208,              0.0019208
                      6,                  3.191,                 8.2834,                0.92008,                0.47105,                0.20792,                 0.1373,                0.02593,                 3.4755,                 6.9329,                0.81964,               0.001901,               0.001901,               0.001901
                      7,                 3.0162,                 6.1521,                 0.9057,                0.41814,                0.18812,                0.13763,                0.02442,                 3.3605,                 5.4363,                0.85011,              0.0018812,              0.0018812,              0.0018812
                      8,                 3.0107,                 5.0085,                0.88968,                0.69916,                0.13809,                0.20725,                0.04513,                 3.0998,                 4.3051,                0.81313,              0.0018614,              0.0018614,              0.0018614
                      9,                  3.278,                 5.0876,                0.92494,                0.07083,                 0.0198,                0.02952,                 0.0058,                  3.257,                 5.4563,                0.84176,              0.0018416,              0.0018416,              0.0018416
                     10,                 2.9657,                 4.0461,                0.91838,                0.60941,                0.46535,                0.39739,                0.08723,                 2.5849,                 2.4383,                0.83175,              0.0018218,              0.0018218,              0.0018218
